epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,12.5306,1.35636,1.7328,0.00803,0.41154,0.48824,0.41347,0.26908,1.26543,1.69193,0.0053,0.000195918,0.000195918,0.0806041,1,TL
2,17.6631,1.2493,1.0534,0.00741,0.64518,0.57484,0.61477,0.40398,1.27511,1.32343,0.00541,0.000356722,0.000356722,0.0607649,2,TL
3,22.5525,1.20238,0.95456,0.00706,0.75066,0.61372,0.72558,0.47801,1.20601,1.12366,0.00501,0.000477927,0.000477927,0.0408861,3,TL
4,27.3902,1.17572,0.87539,0.00676,0.74241,0.58309,0.71513,0.4502,1.24279,1.23983,0.00513,0.000559531,0.000559531,0.0209677,4,TL
5,32.1361,1.13739,0.8353,0.00654,0.7753,0.60929,0.74088,0.48269,1.23112,1.10194,0.00512,0.000601535,0.000601535,0.0010097,5,TL
6,36.8562,1.12466,0.81688,0.00656,0.76954,0.61445,0.73311,0.488,1.22517,1.12223,0.00511,0.000505,0.000505,0.000505,6,TL
7,41.5824,1.11081,0.78849,0.00648,0.77463,0.60039,0.73796,0.49235,1.20453,1.09438,0.00508,0.000406,0.000406,0.000406,7,TL
8,46.3109,1.08207,0.74788,0.00618,0.76273,0.61288,0.74088,0.4761,1.22322,1.17785,0.00508,0.000307,0.000307,0.000307,8,TL
9,51.167,1.06062,0.73436,0.00603,0.78798,0.62198,0.76074,0.49891,1.20557,1.11466,0.00503,0.000208,0.000208,0.000208,9,TL
10,55.8914,1.05738,0.71262,0.00621,0.76663,0.63539,0.76469,0.49819,1.20241,1.06772,0.00501,0.000109,0.000109,0.000109,10,TL
1,8.79225,1.35467,1.76077,0.00749,0.8414,0.69638,0.82888,0.53561,1.24544,0.89453,0.00522,0.0001,0.0001,0.0001,11,FT
2,18.6831,1.11101,0.79786,0.00555,0.7937,0.70295,0.81455,0.53703,1.20984,0.92466,0.00505,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,27.1164,1.04696,0.70803,0.00519,0.77541,0.72142,0.82598,0.5423,1.25422,0.87764,0.00532,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,35.549,1.02855,0.68277,0.00511,0.7963,0.71038,0.81389,0.53504,1.21038,0.93367,0.00507,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,43.8553,0.97669,0.63789,0.00489,0.80877,0.71255,0.82622,0.54764,1.20928,0.91626,0.00505,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,52.29,0.95444,0.60643,0.00462,0.85618,0.736,0.86013,0.57012,1.212,0.83611,0.00506,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,60.8347,0.91634,0.58804,0.00456,0.84134,0.75381,0.85611,0.57337,1.19121,0.88098,0.00496,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,69.2424,0.90401,0.55938,0.00436,0.83403,0.72465,0.8468,0.56297,1.20578,0.87023,0.00503,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,77.5451,0.87161,0.53944,0.00417,0.84355,0.73497,0.85839,0.56502,1.23082,0.84475,0.00516,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,85.7976,0.85396,0.52196,0.00411,0.86722,0.76138,0.88172,0.58912,1.20146,0.76811,0.00503,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,96.9552,0.82633,0.46278,0.00447,0.86767,0.76885,0.87372,0.58027,1.22437,0.83241,0.00518,5.05e-05,5.05e-05,5.05e-05,21,FT
12,105.184,0.79651,0.44186,0.0042,0.85391,0.77528,0.87005,0.57098,1.23987,0.85429,0.00525,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
13,113.339,0.77824,0.43268,0.00429,0.85516,0.7647,0.86123,0.5666,1.23549,0.90072,0.00522,3.52037e-05,3.52037e-05,3.52037e-05,23,FT
14,121.409,0.76161,0.41911,0.00403,0.87879,0.75427,0.86764,0.57156,1.23518,0.85632,0.0052,2.80275e-05,2.80275e-05,2.80275e-05,24,FT
15,129.537,0.76352,0.41651,0.00398,0.86874,0.75807,0.86687,0.57437,1.22884,0.88595,0.00519,2.14046e-05,2.14046e-05,2.14046e-05,25,FT
