model_folder,experiment,fold,architecture,img_size,test_mAP50,test_mAP75,test_mAP_COCO,best_val_mAP50_FT,fps,latency_ms_img,duration,params_M,early_stop
set3_random_full,fold_4_config,fold_4_config,tf_efficientdet_d2,768.0,0.9023655652999878,0.6083469986915588,0.5512410402297974,0.7389942407608032,142.09596987508473,7.037497269479852,0:12:53,8.00856,True
set3_random_full,fold_1_config,fold_1_config,tf_efficientdet_d2,768.0,0.9006358981132507,0.6188921332359314,0.5666123032569885,0.863972544670105,141.5718256871194,7.063552335688943,0:15:55,8.00856,False
set2_balanced_full,fold_1_config,fold_1_config,tf_efficientdet_d2,768.0,0.8943463563919067,0.6205523014068604,0.5684043169021606,0.8609513640403748,141.869023970647,7.048755055979677,0:14:55,8.00856,True
set2_balanced_full,fold_2_config,fold_2_config,tf_efficientdet_d2,768.0,0.8855345845222473,0.6143052577972412,0.5595952868461609,0.8581171035766602,141.8991289938039,7.047259606813129,0:14:28,8.00856,True
set2_balanced_full,fold_3_config,fold_3_config,tf_efficientdet_d2,768.0,0.8830466270446777,0.5840833187103271,0.5425581932067871,0.8571611046791077,141.94767177314753,7.044849609073839,0:16:09,8.00856,True
set3_random_full,fold_3_config,fold_3_config,tf_efficientdet_d2,768.0,0.8794165849685669,0.6151140928268433,0.5601807236671448,0.8561621308326721,141.56609445700187,7.063838299952055,0:17:20,8.00856,False
set2_balanced_full,fold_4_config,fold_4_config,tf_efficientdet_d2,768.0,0.8767583966255188,0.5537064075469971,0.5208679437637329,0.8340011835098267,141.6495560740257,7.059676201719986,0:18:49,8.00856,False
set3_random_full,fold_2_config,fold_2_config,tf_efficientdet_d2,768.0,0.8758692741394043,0.5980887413024902,0.5471290946006775,0.8347036838531494,141.64011567614332,7.06014673333419,0:15:47,8.00856,False
set1_balanced_subsampled,fold_1_config,fold_1_config,tf_efficientdet_d2,768.0,0.8712732195854187,0.58139967918396,0.5380293726921082,0.8615761995315552,156.1089947398729,6.405780792236328,0:09:57,8.00856,False
set1_balanced_subsampled,fold_2_config,fold_2_config,tf_efficientdet_d2,768.0,0.8558972477912903,0.5644301176071167,0.5321822762489319,0.8363262414932251,156.1080573560621,6.405819257100424,0:09:31,8.00856,True
set1_balanced_subsampled,fold_3_config,fold_3_config,tf_efficientdet_d2,768.0,0.8489376902580261,0.5351450443267822,0.5044255256652832,0.8403993844985962,156.5500044341422,6.38773536682129,0:10:42,8.00856,False
set1_balanced_subsampled,fold_4_config,fold_4_config,tf_efficientdet_d2,768.0,0.8404793739318848,0.5113312602043152,0.49346724152565,0.8205242156982422,156.8249777884774,6.376535256703694,0:10:06,8.00856,False
set3_random_full,fold_4_config,fold_4_config,tf_efficientdet_d0,512.0,0.8094316720962524,0.40921977162361145,0.4290635585784912,0.7300671339035034,502.1340734478026,1.9914999855192081,0:08:13,3.829172,False
set3_random_full,fold_1_config,fold_1_config,tf_efficientdet_d0,512.0,0.807384192943573,0.4219532608985901,0.4328767657279968,0.7974813580513,505.4761425152609,1.978332735990223,0:07:34,3.829172,False
set1_balanced_subsampled,fold_2_config,fold_2_config,tf_efficientdet_d0,512.0,0.7925731539726257,0.3655630052089691,0.4086669683456421,0.7546263337135315,550.9318083030247,1.815106670061747,0:05:34,3.829172,False
set2_balanced_full,fold_2_config,fold_2_config,tf_efficientdet_d0,512.0,0.787022590637207,0.4201262891292572,0.43031826615333557,0.7997406125068665,502.9332387839074,1.9883354745413129,0:07:40,3.829172,True
set2_balanced_full,fold_1_config,fold_1_config,tf_efficientdet_d0,512.0,0.7860309481620789,0.43080005049705505,0.43632227182388306,0.667080283164978,506.2836193693945,1.9751774731435272,0:08:40,3.829172,False
set3_random_full,fold_3_config,fold_3_config,tf_efficientdet_d0,512.0,0.778135359287262,0.4152398705482483,0.4227779507637024,0.7106801867485046,504.04261280772073,1.9839592419172587,0:09:04,3.829172,False
set1_balanced_subsampled,fold_1_config,fold_1_config,tf_efficientdet_d0,512.0,0.7735497951507568,0.37384700775146484,0.40500617027282715,0.5703991055488586,554.2845763962939,1.8041274150212605,0:05:37,3.829172,False
set3_random_full,augs_fold_1_config_without_mosaic,augs_fold_1_config_without_mosaic,tf_efficientdet_d0,512.0,0.7728919982910156,0.37846818566322327,0.3988194167613983,0.8112850785255432,507.289557934025,1.9712607609598263,0:07:27,3.829172,True
set2_balanced_full,fold_4_config,fold_4_config,tf_efficientdet_d0,512.0,0.7723386883735657,0.38396206498146057,0.40597012639045715,0.7267928123474121,498.4378919001965,2.0062680150333203,0:10:50,3.829172,False
set2_balanced_full,fold_3_config,fold_3_config,tf_efficientdet_d0,512.0,0.7714002728462219,0.37774017453193665,0.3993361294269562,0.7927166819572449,505.3291490847848,1.9789082062871832,0:08:03,3.829172,True
set3_random_full,fold_2_config,fold_2_config,tf_efficientdet_d0,512.0,0.7713673114776611,0.420870304107666,0.42533865571022034,0.7254158854484558,505.2420940357356,1.9792491793632505,0:07:36,3.829172,True
set1_balanced_subsampled,fold_5_config,fold_5_config,tf_efficientdet_d0,512.0,0.7569835186004639,0.37179213762283325,0.3932453393936157,0.5297427773475647,554.8266897447024,1.8023646275202432,0:05:12,3.829172,False
set3_random_full,no_augs_fold_1_config,no_augs_fold_1_config,tf_efficientdet_d0,512.0,0.7491883635520935,0.3820038139820099,0.3909188508987427,0.7622848749160767,504.4338391845691,1.982420532326949,0:07:13,3.829172,False
set1_balanced_subsampled,fold_4_config,fold_4_config,tf_efficientdet_d0,512.0,0.7474959492683411,0.33394452929496765,0.3739759027957916,0.7522281408309937,548.9209176671321,1.8217560450236001,0:05:40,3.829172,False
set2_balanced_full,augs_fold_1_config_without_mosaic,augs_fold_1_config_without_mosaic,tf_efficientdet_d0,512.0,0.728775143623352,0.3642721176147461,0.37833771109580994,0.4410248100757599,510.6139957054919,1.9584265382666333,0:07:55,3.829172,False
set1_balanced_subsampled,fold_3_config,fold_3_config,tf_efficientdet_d0,512.0,0.6893296837806702,0.31545501947402954,0.3423176407814026,0.7648986577987671,561.1101148286012,1.7821813821792603,0:06:27,3.829172,False
set2_balanced_full,no_augs_fold_1_config,no_augs_fold_1_config,tf_efficientdet_d0,512.0,0.6721062660217285,0.3253786265850067,0.34345000982284546,0.3886110782623291,506.6853372036178,1.9736114834484297,0:07:57,3.829172,False
set1_balanced_subsampled,augs_fold_1_config_without_mosaic,augs_fold_1_config_without_mosaic,tf_efficientdet_d0,512.0,0.6656622290611267,0.2910243570804596,0.323222815990448,0.4043161869049072,564.3020088516162,1.7721007267634077,0:05:23,3.829172,False
set1_balanced_subsampled,no_augs_fold_1_config,no_augs_fold_1_config,tf_efficientdet_d0,512.0,0.6394593119621277,0.3027889132499695,0.3200210928916931,0.33452820777893066,562.1839033778584,1.7787773609161377,0:05:08,3.829172,True
set2_balanced_full,fold_4_config,fold_4_config,yolo26n,,,,,,,0.0,,0.0,
set2_balanced_full,fold_3_config,fold_3_config,yolo26n,,,,,,,0.0,,0.0,
set2_balanced_full,fold_2_config,fold_2_config,yolo26n,,,,,,,0.0,,0.0,
set2_balanced_full,fold_1_config,fold_1_config,yolo26n,,,,,,,0.0,,0.0,
set1_balanced_subsampled,fold_4_config,fold_4_config,yolo26n,,,,,,,0.0,,0.0,
