epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,3.17079,1.55958,3.34887,0.0059,0.27803,0.30111,0.22579,0.12231,1.2442,3.44153,0.01052,0.000191667,0.000191667,0.081025,1,TL
2,4.91064,1.50908,2.48593,0.00579,0.34889,0.30501,0.27451,0.15626,1.17247,3.57179,0.00976,0.000352892,0.000352892,0.0611862,2,TL
3,6.60037,1.48922,2.15498,0.00563,0.22057,0.60849,0.28582,0.18695,1.20014,3.31818,0.00994,0.000474517,0.000474517,0.0413079,3,TL
4,8.31011,1.46099,1.95868,0.00562,0.07111,0.81961,0.30653,0.18805,1.24269,2.83231,0.01036,0.000556542,0.000556542,0.0213899,4,TL
5,10.1965,1.45336,1.8418,0.00566,0.58432,0.15233,0.33012,0.20073,1.27987,2.44033,0.01071,0.000598967,0.000598967,0.0014323,5,TL
6,11.8372,1.42713,1.69059,0.00534,0.59594,0.27148,0.37302,0.22591,1.31327,2.2362,0.011,0.000505,0.000505,0.000505,6,TL
7,13.506,1.38672,1.65218,0.0055,0.52875,0.37868,0.40477,0.25428,1.30809,2.02546,0.01104,0.000406,0.000406,0.000406,7,TL
8,15.137,1.4267,1.60486,0.0054,0.50014,0.42284,0.40841,0.25344,1.32565,1.95243,0.01124,0.000307,0.000307,0.000307,8,TL
9,16.7678,1.42174,1.56813,0.00526,0.47742,0.4276,0.40488,0.25274,1.3245,1.90766,0.01118,0.000208,0.000208,0.000208,9,TL
10,18.4644,1.40361,1.50743,0.00536,0.47546,0.43911,0.41191,0.25837,1.31206,1.85467,0.01099,0.000109,0.000109,0.000109,10,TL
1,2.68742,1.70461,2.42537,0.0061,0.47984,0.44967,0.41577,0.25965,1.36275,1.81019,0.01149,0.0001,0.0001,0.0001,11,FT
2,4.94651,1.55177,1.77666,0.00522,0.53077,0.43835,0.45072,0.29221,1.35455,1.7726,0.01147,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,7.78957,1.47332,1.57459,0.00497,0.48129,0.47472,0.47464,0.304,1.35239,1.73607,0.01142,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,10.079,1.4807,1.50759,0.00495,0.55832,0.44871,0.49184,0.31671,1.353,1.70078,0.0113,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,12.4,1.45863,1.48632,0.00505,0.582,0.47596,0.52451,0.33781,1.34497,1.65564,0.01122,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,14.7284,1.39218,1.36133,0.00456,0.61252,0.47661,0.54434,0.34646,1.35598,1.65867,0.0113,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,17.0494,1.39519,1.40472,0.00466,0.58617,0.50256,0.54954,0.34845,1.36263,1.62151,0.01133,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,19.3989,1.36597,1.34826,0.00457,0.61619,0.50289,0.56071,0.35445,1.34962,1.61331,0.01123,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,21.8534,1.35935,1.33206,0.00438,0.62824,0.51526,0.57394,0.36079,1.35827,1.57855,0.01128,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,24.1665,1.3243,1.27733,0.00436,0.62603,0.51566,0.57549,0.36067,1.3499,1.59846,0.01117,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,27.4116,1.33431,1.41038,0.0049,0.63641,0.49997,0.5708,0.35951,1.34436,1.52048,0.01115,5.05e-05,5.05e-05,5.05e-05,21,FT
12,29.6505,1.29293,1.38959,0.00465,0.60313,0.49864,0.56252,0.3504,1.34784,1.55403,0.01112,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
13,31.8804,1.25705,1.30787,0.00469,0.59108,0.49292,0.54798,0.34004,1.36356,1.57626,0.0112,3.52037e-05,3.52037e-05,3.52037e-05,23,FT
14,34.0906,1.24872,1.25081,0.00471,0.58455,0.49905,0.55414,0.34288,1.36139,1.57396,0.01118,2.80275e-05,2.80275e-05,2.80275e-05,24,FT
