epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0012,1.41484,1.81912,0.00623,0.81904,0.54345,0.75018,0.4538,1.26171,1.60337,0.0144,0.000195652,0.000195652,0.0806304
2,12.9174,1.27197,1.01258,0.00567,0.76297,0.74429,0.81775,0.49914,1.34622,1.03551,0.01744,0.000356483,0.000356483,0.0607913
3,17.7429,1.24027,0.91149,0.00555,0.82325,0.76983,0.87449,0.53607,1.36884,0.87146,0.0176,0.000477713,0.000477713,0.0409125
4,22.5821,1.21194,0.85107,0.00521,0.84642,0.77698,0.88846,0.55835,1.25979,0.79975,0.01493,0.000559343,0.000559343,0.0209941
5,27.3506,1.17467,0.79803,0.0051,0.85005,0.78666,0.89891,0.57493,1.26407,0.79089,0.01519,0.000601374,0.000601374,0.00103616
6,32.0748,1.17749,0.77901,0.00504,0.85656,0.80409,0.9066,0.59373,1.22243,0.76925,0.01525,0.000505,0.000505,0.000505
7,36.9313,1.14556,0.75633,0.00502,0.86139,0.79381,0.90425,0.59062,1.23738,0.77467,0.01542,0.000406,0.000406,0.000406
8,41.5849,1.11963,0.7256,0.00484,0.86176,0.8056,0.91084,0.59461,1.21258,0.76216,0.01491,0.000307,0.000307,0.000307
9,46.2898,1.10958,0.70683,0.00472,0.86021,0.81591,0.9162,0.59307,1.23072,0.74203,0.01471,0.000208,0.000208,0.000208
10,50.9404,1.08725,0.69218,0.00469,0.86346,0.80833,0.91262,0.596,1.19893,0.74793,0.01465,0.000109,0.000109,0.000109
