epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.58951,1.35245,1.59306,0.00687,0.75263,0.41979,0.60383,0.39807,1.33007,1.97899,0.01056,0.00019661,0.00019661,0.0805356
2,13.0075,1.25547,0.96818,0.00631,0.85643,0.3621,0.66807,0.45174,1.18786,2.10976,0.00913,0.000357346,0.000357346,0.0606963
3,18.2807,1.22762,0.87389,0.00621,0.69016,0.62711,0.69136,0.44006,1.27567,1.31439,0.00978,0.000478481,0.000478481,0.0408175
4,23.3752,1.19662,0.80058,0.00604,0.67568,0.65367,0.68148,0.41454,1.27578,1.30072,0.0096,0.000560017,0.000560017,0.020899
5,28.4471,1.1711,0.77379,0.00593,0.71172,0.65324,0.7154,0.46288,1.28479,1.22735,0.00981,0.000601953,0.000601953,0.000940936
6,33.5692,1.14821,0.74488,0.00568,0.75575,0.6948,0.77395,0.50686,1.23203,1.07654,0.00938,0.000505,0.000505,0.000505
7,38.8703,1.11895,0.71826,0.00553,0.73044,0.69628,0.74906,0.48105,1.25429,1.06421,0.00935,0.000406,0.000406,0.000406
8,43.9151,1.11057,0.6847,0.00532,0.72827,0.70053,0.74375,0.46948,1.26197,1.10881,0.00944,0.000307,0.000307,0.000307
9,48.9242,1.09271,0.67446,0.00534,0.754,0.71003,0.75215,0.47763,1.26725,1.06383,0.00943,0.000208,0.000208,0.000208
10,53.9791,1.07972,0.65903,0.00525,0.7349,0.71174,0.75184,0.47922,1.25056,1.05714,0.00931,0.000109,0.000109,0.000109
