epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,5.49671,1.49182,2.25933,0.00716,0.36303,0.27625,0.31657,0.19807,1.36967,2.04292,0.00771,0.000191667,0.000191667,0.081025,1,TL
2,8.20151,1.37226,1.28645,0.00653,0.58113,0.51076,0.55516,0.36789,1.2145,1.55071,0.0068,0.000352892,0.000352892,0.0611862,2,TL
3,11.1214,1.30336,1.07042,0.00609,0.6559,0.54691,0.62208,0.42139,1.16386,1.39024,0.00639,0.000474517,0.000474517,0.0413079,3,TL
4,13.7761,1.23928,1.00513,0.00585,0.65204,0.54977,0.64237,0.43599,1.16746,1.35732,0.00644,0.000556542,0.000556542,0.0213899,4,TL
5,16.3869,1.21879,0.9457,0.00568,0.69083,0.59523,0.70625,0.4609,1.18918,1.158,0.00635,0.000598967,0.000598967,0.0014323,5,TL
6,19.0027,1.19407,0.90238,0.00551,0.71147,0.58855,0.70718,0.47019,1.15325,1.16002,0.00629,0.000505,0.000505,0.000505,6,TL
7,21.6219,1.16552,0.86155,0.00573,0.72754,0.56101,0.69692,0.45684,1.18297,1.20556,0.0064,0.000406,0.000406,0.000406,7,TL
8,24.1912,1.20436,0.88508,0.00605,0.75816,0.60686,0.72826,0.4718,1.18452,1.12041,0.00621,0.000307,0.000307,0.000307,8,TL
9,26.8017,1.14376,0.83927,0.00526,0.73267,0.60006,0.72954,0.48627,1.15846,1.11936,0.0062,0.000208,0.000208,0.000208,9,TL
10,29.5749,1.14903,0.81326,0.00526,0.75401,0.62099,0.73861,0.49074,1.14818,1.11662,0.00607,0.000109,0.000109,0.000109,10,TL
1,4.41951,1.51669,2.181,0.00683,0.80701,0.67124,0.80094,0.54563,1.1786,0.98005,0.00652,0.0001,0.0001,0.0001,11,FT
2,8.91029,1.2361,1.01572,0.00523,0.83834,0.7162,0.83182,0.54953,1.16239,0.85061,0.00636,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,15.0057,1.14275,0.87935,0.00474,0.81622,0.69534,0.81835,0.55209,1.13575,0.90512,0.00629,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,19.5143,1.11698,0.81974,0.00457,0.83743,0.7151,0.82276,0.55292,1.13426,0.86868,0.00624,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,24.0375,1.09343,0.84383,0.00455,0.81198,0.69876,0.8261,0.5434,1.17051,0.89014,0.00632,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,28.4399,1.03638,0.72118,0.00405,0.76205,0.69928,0.82069,0.54535,1.15204,1.01534,0.00629,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,32.8154,1.03599,0.7622,0.00434,0.77725,0.72201,0.81993,0.54364,1.16478,0.98606,0.0063,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,37.2079,1.01731,0.70619,0.00402,0.793,0.74832,0.84454,0.56567,1.15131,0.88295,0.00626,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,41.9008,0.978,0.64083,0.00377,0.82481,0.77512,0.86513,0.58441,1.14506,0.79981,0.00621,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,46.4073,0.94979,0.63154,0.00378,0.82738,0.76632,0.86564,0.58264,1.15368,0.8413,0.00627,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,53.4478,0.94813,0.6123,0.00406,0.83743,0.76282,0.864,0.5677,1.21575,0.87912,0.00682,5.05e-05,5.05e-05,5.05e-05,21,FT
12,57.8,0.8991,0.55312,0.00383,0.83731,0.76427,0.86841,0.58183,1.18412,0.83036,0.00653,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
13,62.2466,0.87421,0.52556,0.00381,0.82556,0.77096,0.87015,0.59078,1.16755,0.76998,0.0065,3.52037e-05,3.52037e-05,3.52037e-05,23,FT
14,66.6509,0.85495,0.53527,0.00377,0.79443,0.76078,0.86854,0.58599,1.17125,0.82297,0.00641,2.80275e-05,2.80275e-05,2.80275e-05,24,FT
15,70.9428,0.86517,0.52796,0.00371,0.80527,0.75432,0.86659,0.58264,1.1769,0.8709,0.00649,2.14046e-05,2.14046e-05,2.14046e-05,25,FT
16,75.2001,0.85358,0.53125,0.00367,0.80642,0.7633,0.86835,0.58343,1.17694,0.8695,0.00647,1.54982e-05,1.54982e-05,1.54982e-05,26,FT
17,79.4975,0.84191,0.5143,0.0036,0.81232,0.76055,0.86839,0.58423,1.17587,0.85651,0.00648,1.04537e-05,1.04537e-05,1.04537e-05,27,FT
18,83.7792,0.83692,0.50759,0.00366,0.81111,0.76279,0.86959,0.58557,1.17363,0.84407,0.00647,6.39518e-06,6.39518e-06,6.39518e-06,28,FT
