epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0433,1.47745,2.23829,0.00779,0.30772,0.31635,0.29134,0.16118,1.65014,2.01518,0.00733,0.000191667,0.000191667,0.081025
2,15.0791,1.34306,1.27028,0.00735,0.58258,0.56313,0.55908,0.35809,1.28763,1.54048,0.00529,0.000352892,0.000352892,0.0611862
3,17.816,1.30696,1.08733,0.00683,0.65815,0.57734,0.63043,0.40385,1.27536,1.31604,0.00519,0.000474517,0.000474517,0.0413079
4,20.5069,1.25198,1.00484,0.00655,0.65912,0.54752,0.63676,0.41614,1.24672,1.33901,0.00511,0.000556542,0.000556542,0.0213899
5,23.1712,1.23088,0.95673,0.00634,0.73322,0.56783,0.67567,0.42474,1.24158,1.20176,0.00502,0.000598967,0.000598967,0.0014323
6,25.8178,1.19561,0.918,0.00619,0.71348,0.54967,0.66893,0.44377,1.18727,1.19426,0.00478,0.000505,0.000505,0.000505
7,28.4657,1.16692,0.87829,0.00634,0.73117,0.54923,0.66859,0.44196,1.17683,1.21358,0.00477,0.000406,0.000406,0.000406
8,31.0564,1.19119,0.89387,0.0065,0.7565,0.55993,0.68055,0.43531,1.21922,1.18815,0.00488,0.000307,0.000307,0.000307
9,33.8006,1.1373,0.85387,0.00575,0.77138,0.57682,0.70917,0.46385,1.21689,1.16703,0.0049,0.000208,0.000208,0.000208
10,36.4566,1.13056,0.83551,0.00579,0.76496,0.56998,0.70259,0.46581,1.18453,1.13889,0.00478,0.000109,0.000109,0.000109
11,5.36617,1.48784,2.22304,0.0075,0.7454,0.66211,0.74526,0.49879,1.20576,0.94535,0.00503,0.0001,0.0001,0.0001
12,9.93912,1.24019,1.0315,0.00583,0.74688,0.66815,0.75206,0.49545,1.21022,0.93966,0.00496,9.93906e-05,9.93906e-05,9.93906e-05
13,15.1032,1.13536,0.90253,0.0053,0.75286,0.6508,0.76571,0.51098,1.16787,0.97886,0.00482,9.75773e-05,9.75773e-05,9.75773e-05
14,19.6927,1.09401,0.81919,0.0049,0.72354,0.68256,0.78454,0.51794,1.18866,0.93981,0.00486,9.46048e-05,9.46048e-05,9.46048e-05
15,24.3333,1.08506,0.88126,0.00494,0.71196,0.64435,0.76077,0.49407,1.22943,1.02189,0.00504,9.05463e-05,9.05463e-05,9.05463e-05
16,28.8053,1.04667,0.75253,0.00459,0.72153,0.64948,0.73727,0.4888,1.18983,1.13843,0.00486,8.55018e-05,8.55018e-05,8.55018e-05
17,33.276,1.0146,0.76438,0.0046,0.71925,0.63959,0.73549,0.47609,1.21603,1.15584,0.00494,7.95954e-05,7.95954e-05,7.95954e-05
18,37.9146,1.00285,0.72921,0.0044,0.72644,0.65476,0.75893,0.49543,1.2077,1.10484,0.00491,7.29725e-05,7.29725e-05,7.29725e-05
19,42.4161,0.97749,0.6836,0.00416,0.71553,0.70529,0.77448,0.50452,1.20533,1.05765,0.00488,6.57963e-05,6.57963e-05,6.57963e-05
20,46.8827,0.95039,0.66698,0.00429,0.73118,0.67809,0.76528,0.49701,1.23698,1.09255,0.00504,5.82435e-05,5.82435e-05,5.82435e-05
21,52.5328,0.95366,0.64318,0.00456,0.72705,0.6785,0.76074,0.49494,1.25832,1.10043,0.00521,5.05e-05,5.05e-05,5.05e-05
22,56.9209,0.90958,0.5786,0.0043,0.6974,0.68179,0.75864,0.50059,1.24224,1.07752,0.00516,4.27565e-05,4.27565e-05,4.27565e-05
23,61.475,0.88624,0.55006,0.00435,0.69624,0.69017,0.76473,0.50505,1.23797,1.02606,0.00515,3.52037e-05,3.52037e-05,3.52037e-05
24,65.8118,0.85148,0.55518,0.00429,0.70404,0.68765,0.76349,0.4991,1.25229,1.07603,0.00521,2.80275e-05,2.80275e-05,2.80275e-05
25,70.1486,0.86684,0.56167,0.00412,0.69428,0.70435,0.76086,0.49679,1.24097,1.09869,0.00514,2.14046e-05,2.14046e-05,2.14046e-05
26,74.4762,0.8496,0.55234,0.0041,0.70078,0.70232,0.76489,0.49922,1.23854,1.08705,0.0051,1.54982e-05,1.54982e-05,1.54982e-05
27,78.8416,0.83631,0.52293,0.00398,0.70216,0.70002,0.76691,0.50243,1.23385,1.08166,0.00508,1.04537e-05,1.04537e-05,1.04537e-05
28,83.2015,0.83631,0.52292,0.00409,0.70607,0.70915,0.77335,0.50725,1.23225,1.07129,0.00507,6.39518e-06,6.39518e-06,6.39518e-06
29,87.7401,0.82662,0.55586,0.00404,0.72065,0.71066,0.78134,0.51296,1.22778,1.03722,0.00506,3.4227e-06,3.4227e-06,3.4227e-06
30,92.093,0.87153,0.6156,0.00588,0.71492,0.71026,0.77954,0.51157,1.22732,1.05399,0.00505,1.60943e-06,1.60943e-06,1.60943e-06
