epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9657,1.45272,2.01977,0.00558,0.70526,0.35892,0.5296,0.29092,1.46263,2.21814,0.01481,0.000194118,0.000194118,0.0807824
2,15.4002,1.30764,1.03403,0.00482,0.7402,0.5521,0.66297,0.43058,1.2378,1.62809,0.01322,0.0003551,0.0003551,0.0609433
3,19.796,1.26822,0.90352,0.00475,0.74196,0.58062,0.71184,0.46531,1.23935,1.44426,0.01371,0.000476482,0.000476482,0.0410647
4,24.1744,1.23001,0.86273,0.0046,0.73733,0.64846,0.74051,0.47204,1.23426,1.34079,0.01353,0.000558265,0.000558265,0.0211465
5,28.4917,1.18392,0.79779,0.00446,0.76295,0.65732,0.76165,0.48557,1.20377,1.30271,0.013,0.000600447,0.000600447,0.00118868
6,32.7933,1.19559,0.78603,0.00437,0.73038,0.66298,0.75365,0.48016,1.2108,1.28971,0.01304,0.000505,0.000505,0.000505
7,37.0348,1.14229,0.75368,0.00419,0.75334,0.66461,0.7678,0.49325,1.17464,1.27216,0.01252,0.000406,0.000406,0.000406
8,41.47,1.14846,0.74926,0.00426,0.75832,0.68723,0.75762,0.48,1.20118,1.3001,0.01281,0.000307,0.000307,0.000307
9,45.7159,1.14688,0.72816,0.00422,0.77131,0.69058,0.77484,0.49012,1.20909,1.22421,0.01328,0.000208,0.000208,0.000208
10,49.9069,1.1246,0.69849,0.0041,0.7471,0.69315,0.76466,0.48483,1.19831,1.23112,0.01308,0.000109,0.000109,0.000109
