epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.41626,1.29303,0.90042,0.00535,0.87648,0.79247,0.8991,0.59428,1.23816,0.74979,0.00715,0.0001,0.0001,0.0001
2,8.92056,1.1157,0.68027,0.0046,0.87788,0.76614,0.88384,0.56675,1.26939,0.82259,0.00718,9.93906e-05,9.93906e-05,9.93906e-05
3,14.1556,1.04083,0.65933,0.00423,0.76757,0.68268,0.82608,0.51189,1.31687,1.1105,0.00742,9.75773e-05,9.75773e-05,9.75773e-05
4,18.6214,1.02795,0.59225,0.0041,0.81483,0.72805,0.85296,0.52836,1.33233,0.97374,0.00758,9.46048e-05,9.46048e-05,9.46048e-05
5,23.0857,1.01308,0.62552,0.00413,0.87518,0.79413,0.89557,0.57875,1.25508,0.78727,0.0071,9.05463e-05,9.05463e-05,9.05463e-05
6,27.5299,0.9594,0.54838,0.00372,0.89343,0.7744,0.89788,0.57651,1.26374,0.76969,0.0071,8.55018e-05,8.55018e-05,8.55018e-05
7,31.9798,0.95364,0.57509,0.00392,0.88751,0.77425,0.89849,0.58519,1.22796,0.78214,0.00691,7.95954e-05,7.95954e-05,7.95954e-05
8,36.4606,0.95367,0.55689,0.0037,0.87812,0.77943,0.89957,0.58145,1.24537,0.80191,0.00706,7.29725e-05,7.29725e-05,7.29725e-05
9,41.1371,0.91252,0.5221,0.0035,0.90405,0.77765,0.90506,0.5982,1.2274,0.76039,0.00699,6.57963e-05,6.57963e-05,6.57963e-05
10,45.6991,0.90303,0.49979,0.00355,0.90027,0.77646,0.90386,0.5951,1.23881,0.78228,0.00702,5.82435e-05,5.82435e-05,5.82435e-05
11,51.3485,0.89649,0.48888,0.00383,0.88725,0.79389,0.90682,0.58701,1.27756,0.748,0.00745,5.05e-05,5.05e-05,5.05e-05
12,55.7432,0.84905,0.44435,0.00361,0.8604,0.78148,0.89412,0.58704,1.25597,0.80466,0.00725,4.27565e-05,4.27565e-05,4.27565e-05
13,60.0882,0.81754,0.44384,0.00357,0.87402,0.77898,0.89821,0.59531,1.24337,0.783,0.00724,3.52037e-05,3.52037e-05,3.52037e-05
14,64.6418,0.80866,0.43565,0.00356,0.88389,0.77154,0.89809,0.59616,1.24026,0.79333,0.00718,2.80275e-05,2.80275e-05,2.80275e-05
15,69.0029,0.81996,0.44878,0.00351,0.89307,0.78182,0.90095,0.59578,1.25438,0.78128,0.00727,2.14046e-05,2.14046e-05,2.14046e-05
16,73.3377,0.81497,0.4251,0.00351,0.88678,0.79021,0.90438,0.5974,1.25779,0.77324,0.00733,1.54982e-05,1.54982e-05,1.54982e-05
17,77.6924,0.79495,0.41514,0.00342,0.89023,0.7797,0.90324,0.5965,1.25796,0.7768,0.00733,1.04537e-05,1.04537e-05,1.04537e-05
18,82.0535,0.79891,0.4276,0.00354,0.89085,0.78459,0.90501,0.5994,1.2511,0.77022,0.00728,6.39518e-06,6.39518e-06,6.39518e-06
19,86.7218,0.77738,0.42438,0.00342,0.89435,0.79224,0.90718,0.60263,1.24619,0.74763,0.00724,3.4227e-06,3.4227e-06,3.4227e-06
20,91.2134,0.77855,0.42434,0.00343,0.89579,0.77331,0.9035,0.60026,1.24321,0.77975,0.00722,1.60943e-06,1.60943e-06,1.60943e-06
