epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9158,1.52384,2.64726,0.00839,0.05674,0.28022,0.13441,0.0703,1.60292,3.96647,0.01034,0.000195833,0.000195833,0.0806125
2,16.74,1.36808,1.62448,0.00748,0.14345,0.80372,0.50348,0.27977,1.48331,2.55027,0.00951,0.000356646,0.000356646,0.0607733
3,20.2944,1.28765,1.35133,0.00717,0.61906,0.42411,0.55781,0.29418,1.61506,1.75417,0.01051,0.000477858,0.000477858,0.0408945
4,23.8121,1.23982,1.19022,0.00668,0.61433,0.57502,0.61555,0.33358,1.52566,1.47387,0.00967,0.000559471,0.000559471,0.0209761
5,27.3123,1.17102,1.08796,0.00625,0.67249,0.6087,0.6532,0.36103,1.50041,1.40855,0.0096,0.000601483,0.000601483,0.00101815
6,30.8516,1.15534,1.00639,0.00607,0.67137,0.61962,0.67682,0.37117,1.49855,1.33132,0.00948,0.000505,0.000505,0.000505
7,34.2522,1.12537,0.93955,0.00601,0.68412,0.64792,0.69769,0.39249,1.48535,1.23542,0.00933,0.000406,0.000406,0.000406
8,37.7223,1.11561,0.89925,0.00588,0.68254,0.63595,0.69307,0.38678,1.49823,1.2783,0.00956,0.000307,0.000307,0.000307
9,41.3526,1.11575,0.87688,0.00577,0.70454,0.63449,0.70005,0.39721,1.46532,1.25147,0.00914,0.000208,0.000208,0.000208
10,44.7633,1.07306,0.84099,0.00571,0.703,0.64399,0.70291,0.39743,1.47727,1.24088,0.00928,0.000109,0.000109,0.000109
11,4.54674,1.31671,1.37571,0.00651,0.70652,0.65072,0.70785,0.39981,1.47692,1.19507,0.0093,0.0001,0.0001,0.0001
12,8.64823,1.25873,1.09657,0.00577,0.6946,0.63879,0.70108,0.39256,1.46503,1.24535,0.00938,9.93906e-05,9.93906e-05,9.93906e-05
13,13.4721,1.22251,1.04547,0.00557,0.69305,0.64915,0.70054,0.3966,1.45829,1.24599,0.00931,9.75773e-05,9.75773e-05,9.75773e-05
14,17.6567,1.18069,0.99934,0.00543,0.69763,0.64647,0.70615,0.40386,1.4412,1.24125,0.0092,9.46048e-05,9.46048e-05,9.46048e-05
15,21.869,1.16938,0.99384,0.00539,0.69441,0.64191,0.70136,0.39733,1.45281,1.26208,0.00927,9.05463e-05,9.05463e-05,9.05463e-05
16,26.0862,1.16162,0.97497,0.00545,0.70306,0.6443,0.70748,0.39966,1.45987,1.25597,0.00928,8.55018e-05,8.55018e-05,8.55018e-05
17,30.3003,1.13262,0.96261,0.00528,0.69564,0.65758,0.7079,0.39626,1.46714,1.23849,0.00933,7.95954e-05,7.95954e-05,7.95954e-05
18,34.6722,1.14428,0.95817,0.00531,0.71987,0.65938,0.72647,0.41472,1.4482,1.18607,0.00917,7.29725e-05,7.29725e-05,7.29725e-05
19,38.9035,1.1263,0.92389,0.00509,0.7188,0.65123,0.71982,0.40606,1.45954,1.19997,0.0093,6.57963e-05,6.57963e-05,6.57963e-05
20,43.1115,1.10848,0.9248,0.00522,0.719,0.65521,0.7195,0.40153,1.46918,1.2099,0.00933,5.82435e-05,5.82435e-05,5.82435e-05
21,48.4362,1.09673,0.96047,0.00575,0.72372,0.68243,0.73425,0.40969,1.45566,1.15704,0.00922,5.05e-05,5.05e-05,5.05e-05
22,52.5422,1.05949,0.85029,0.00547,0.7189,0.68503,0.73126,0.41012,1.45452,1.14981,0.00923,4.27565e-05,4.27565e-05,4.27565e-05
23,56.831,1.05399,0.81516,0.00543,0.71188,0.68756,0.72838,0.40477,1.47821,1.14676,0.00941,3.52037e-05,3.52037e-05,3.52037e-05
24,60.9126,1.04585,0.80311,0.00533,0.71192,0.68101,0.72683,0.40134,1.48149,1.16037,0.00947,2.80275e-05,2.80275e-05,2.80275e-05
25,65.0859,1.02363,0.80427,0.00515,0.72066,0.6768,0.72763,0.40261,1.46732,1.16924,0.00936,2.14046e-05,2.14046e-05,2.14046e-05
26,69.1769,1.0309,0.79956,0.00532,0.71632,0.67733,0.73007,0.40425,1.46799,1.16803,0.00935,1.54982e-05,1.54982e-05,1.54982e-05
27,73.2673,1.02321,0.80723,0.00518,0.72437,0.67751,0.73079,0.40548,1.47166,1.15829,0.00938,1.04537e-05,1.04537e-05,1.04537e-05
28,77.4745,1.02269,0.781,0.0052,0.72402,0.67508,0.73144,0.40656,1.46905,1.15574,0.00937,6.39518e-06,6.39518e-06,6.39518e-06
29,81.5511,1.0116,0.78329,0.00519,0.72002,0.67501,0.73004,0.40533,1.4726,1.16098,0.00939,3.4227e-06,3.4227e-06,3.4227e-06
30,85.5736,1.03118,0.79046,0.00514,0.71689,0.67812,0.72936,0.40429,1.47465,1.16613,0.00941,1.60943e-06,1.60943e-06,1.60943e-06
