epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.49671,1.49182,2.25933,0.00716,0.36303,0.27625,0.31657,0.19807,1.36967,2.04292,0.00771,0.000191667,0.000191667,0.081025
2,8.20151,1.37226,1.28645,0.00653,0.58113,0.51076,0.55516,0.36789,1.2145,1.55071,0.0068,0.000352892,0.000352892,0.0611862
3,11.1214,1.30336,1.07042,0.00609,0.6559,0.54691,0.62208,0.42139,1.16386,1.39024,0.00639,0.000474517,0.000474517,0.0413079
4,13.7761,1.23928,1.00513,0.00585,0.65204,0.54977,0.64237,0.43599,1.16746,1.35732,0.00644,0.000556542,0.000556542,0.0213899
5,16.3869,1.21879,0.9457,0.00568,0.69083,0.59523,0.70625,0.4609,1.18918,1.158,0.00635,0.000598967,0.000598967,0.0014323
6,19.0027,1.19407,0.90238,0.00551,0.71147,0.58855,0.70718,0.47019,1.15325,1.16002,0.00629,0.000505,0.000505,0.000505
7,21.6219,1.16552,0.86155,0.00573,0.72754,0.56101,0.69692,0.45684,1.18297,1.20556,0.0064,0.000406,0.000406,0.000406
8,24.1912,1.20436,0.88508,0.00605,0.75816,0.60686,0.72826,0.4718,1.18452,1.12041,0.00621,0.000307,0.000307,0.000307
9,26.8017,1.14376,0.83927,0.00526,0.73267,0.60006,0.72954,0.48627,1.15846,1.11936,0.0062,0.000208,0.000208,0.000208
10,29.5749,1.14903,0.81326,0.00526,0.75401,0.62099,0.73861,0.49074,1.14818,1.11662,0.00607,0.000109,0.000109,0.000109
