epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5829,1.49253,2.55263,0.00808,0.05766,0.27895,0.14922,0.06751,1.89865,3.79665,0.01118,0.000195833,0.000195833,0.0806125
2,17.2516,1.3591,1.63336,0.00731,0.10431,0.88538,0.46281,0.22622,1.63015,2.67431,0.00895,0.000356646,0.000356646,0.0607733
3,20.906,1.29398,1.37292,0.00704,0.60386,0.5584,0.63216,0.35271,1.44887,1.51284,0.00785,0.000477858,0.000477858,0.0408945
4,24.4795,1.22077,1.21354,0.00653,0.62175,0.64076,0.68218,0.36719,1.48671,1.31145,0.00799,0.000559471,0.000559471,0.0209761
5,27.985,1.18912,1.14705,0.00631,0.65693,0.57017,0.66681,0.36965,1.46232,1.43788,0.00786,0.000601483,0.000601483,0.00101815
6,31.4785,1.15971,1.08317,0.00615,0.66013,0.63915,0.69737,0.38761,1.47496,1.21649,0.00793,0.000505,0.000505,0.000505
7,35.073,1.13722,1.00885,0.006,0.67692,0.61588,0.71953,0.40412,1.47977,1.24594,0.00793,0.000406,0.000406,0.000406
8,38.8164,1.12327,0.9707,0.00594,0.70181,0.63547,0.72963,0.40212,1.48086,1.20167,0.00797,0.000307,0.000307,0.000307
9,42.3074,1.08447,0.94559,0.00568,0.71137,0.6473,0.73888,0.41581,1.44347,1.16431,0.0077,0.000208,0.000208,0.000208
10,45.763,1.07677,0.93259,0.00558,0.70678,0.65212,0.74159,0.41326,1.47912,1.15606,0.00792,0.000109,0.000109,0.000109
11,4.65226,1.34941,1.47338,0.00662,0.69844,0.6556,0.7383,0.41493,1.43897,1.15109,0.00773,0.0001,0.0001,0.0001
12,8.8556,1.25828,1.14473,0.00577,0.68235,0.65274,0.7234,0.41179,1.41786,1.17768,0.00765,9.93906e-05,9.93906e-05,9.93906e-05
13,13.7021,1.21677,1.10018,0.00568,0.67845,0.66646,0.73875,0.42625,1.42376,1.14434,0.00765,9.75773e-05,9.75773e-05,9.75773e-05
14,18.0035,1.18035,1.0781,0.00546,0.68905,0.6572,0.73424,0.42534,1.42482,1.14842,0.00763,9.46048e-05,9.46048e-05,9.46048e-05
15,22.3511,1.16709,1.06019,0.00548,0.69534,0.66714,0.74843,0.43356,1.4159,1.12488,0.00759,9.05463e-05,9.05463e-05,9.05463e-05
16,26.6393,1.16483,1.05079,0.00531,0.7016,0.68242,0.76101,0.44275,1.40854,1.09964,0.00756,8.55018e-05,8.55018e-05,8.55018e-05
17,30.9015,1.13581,1.01637,0.00524,0.69421,0.69666,0.76572,0.44671,1.40357,1.08811,0.0075,7.95954e-05,7.95954e-05,7.95954e-05
18,35.2937,1.11967,0.99986,0.00521,0.70311,0.67288,0.75501,0.44172,1.41458,1.10187,0.00754,7.29725e-05,7.29725e-05,7.29725e-05
19,39.541,1.11846,0.98628,0.00509,0.70801,0.68023,0.76233,0.44887,1.38488,1.09822,0.00741,6.57963e-05,6.57963e-05,6.57963e-05
20,43.7765,1.12021,0.99273,0.00516,0.7061,0.68864,0.76818,0.45074,1.40588,1.08833,0.0075,5.82435e-05,5.82435e-05,5.82435e-05
21,49.0061,1.08719,0.99358,0.00562,0.6912,0.61704,0.70924,0.40297,1.45621,1.21428,0.00774,5.05e-05,5.05e-05,5.05e-05
22,52.8965,1.06355,0.9279,0.00543,0.6869,0.61894,0.71186,0.39315,1.4949,1.21947,0.00793,4.27565e-05,4.27565e-05,4.27565e-05
23,56.8012,1.0601,0.89597,0.00543,0.69382,0.64663,0.73435,0.40551,1.47892,1.17902,0.00788,3.52037e-05,3.52037e-05,3.52037e-05
24,61.0417,1.05438,0.88998,0.00521,0.69204,0.6377,0.7341,0.41121,1.46051,1.20316,0.00778,2.80275e-05,2.80275e-05,2.80275e-05
25,65.0977,1.02967,0.86354,0.00518,0.71158,0.63265,0.74453,0.42167,1.44488,1.19792,0.00772,2.14046e-05,2.14046e-05,2.14046e-05
26,69.1807,1.04018,0.8742,0.00529,0.70072,0.658,0.75034,0.42669,1.44411,1.17794,0.00772,1.54982e-05,1.54982e-05,1.54982e-05
27,73.2555,1.03221,0.86575,0.00515,0.70301,0.65126,0.74503,0.42195,1.45097,1.18554,0.00775,1.04537e-05,1.04537e-05,1.04537e-05
28,77.3751,1.02014,0.86743,0.00522,0.71438,0.63154,0.74566,0.42334,1.44173,1.19246,0.00769,6.39518e-06,6.39518e-06,6.39518e-06
29,81.4776,1.0177,0.84916,0.00512,0.70274,0.64863,0.74598,0.42335,1.4439,1.18455,0.0077,3.4227e-06,3.4227e-06,3.4227e-06
30,85.6248,1.00786,0.84196,0.00518,0.70144,0.65831,0.74887,0.42609,1.44205,1.16519,0.00769,1.60943e-06,1.60943e-06,1.60943e-06
