epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,7.70948,1.33101,1.82755,0.00722,0.4217,0.38338,0.37348,0.22724,1.38526,1.75308,0.00699,0.000195556,0.000195556,0.08064,1,TL
2,12.4788,1.2166,1.03782,0.00671,0.58537,0.5044,0.57328,0.33639,1.35355,1.49121,0.00698,0.000356396,0.000356396,0.0608008,2,TL
3,17.4729,1.16851,0.92612,0.00635,0.57377,0.56788,0.62527,0.37569,1.31926,1.28909,0.0067,0.000477636,0.000477636,0.0409221,3,TL
4,22.12,1.16644,0.87305,0.00646,0.56331,0.57279,0.60742,0.35599,1.37633,1.23557,0.00691,0.000559276,0.000559276,0.0210037,4,TL
5,26.656,1.13573,0.81825,0.00617,0.62293,0.56959,0.63409,0.38748,1.30532,1.22148,0.00659,0.000601316,0.000601316,0.00104576,5,TL
6,31.2362,1.11791,0.77203,0.00596,0.66153,0.54805,0.66738,0.41304,1.30171,1.23487,0.0066,0.000505,0.000505,0.000505,6,TL
7,35.875,1.09182,0.75376,0.00603,0.68646,0.58388,0.69165,0.41227,1.39076,1.13251,0.00714,0.000406,0.000406,0.000406,7,TL
8,40.3988,1.06649,0.72397,0.00581,0.68421,0.58336,0.70343,0.4228,1.35557,1.1311,0.00694,0.000307,0.000307,0.000307,8,TL
9,45.1441,1.06245,0.71967,0.00566,0.68149,0.61092,0.715,0.42302,1.40117,1.09545,0.00713,0.000208,0.000208,0.000208,9,TL
10,49.7797,1.04974,0.69094,0.00559,0.70918,0.60473,0.72269,0.44086,1.31135,1.05445,0.00665,0.000109,0.000109,0.000109,10,TL
1,7.86774,1.30913,1.60621,0.00679,0.693,0.61953,0.71781,0.44855,1.30608,1.12516,0.00662,0.0001,0.0001,0.0001,11,FT
2,15.8628,1.09042,0.77119,0.00514,0.71058,0.60621,0.71129,0.43064,1.3983,1.06452,0.00727,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,25.2293,1.04863,0.70747,0.0048,0.77014,0.7168,0.8028,0.491,1.40644,0.88445,0.00738,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,33.249,0.99068,0.65175,0.00458,0.78751,0.69274,0.82804,0.52342,1.29943,0.92881,0.00672,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,41.251,0.96123,0.61549,0.00442,0.77481,0.68326,0.81574,0.49967,1.3531,0.95268,0.00704,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,49.114,0.93287,0.59236,0.0043,0.76863,0.68593,0.81661,0.495,1.37384,0.94654,0.00712,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,56.9919,0.90429,0.57107,0.00422,0.77442,0.67687,0.81473,0.50254,1.35073,0.97437,0.00701,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,65.0568,0.88561,0.55561,0.00422,0.77018,0.69088,0.82906,0.50549,1.35654,0.98136,0.0071,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,72.9538,0.86436,0.53085,0.0038,0.79267,0.73248,0.84375,0.51807,1.34415,0.89634,0.007,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
