epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21581,1.12213,0.70925,0.00548,0.79861,0.73401,0.85153,0.48788,1.37823,0.92915,0.00722,0.0001,0.0001,0.0001
2,17.2463,0.96798,0.55487,0.00442,0.74406,0.70762,0.83774,0.50395,1.33291,0.99645,0.00698,9.93906e-05,9.93906e-05,9.93906e-05
3,25.61,0.92594,0.53542,0.00428,0.78702,0.69309,0.85054,0.52256,1.31217,0.98739,0.00694,9.75773e-05,9.75773e-05,9.75773e-05
4,34.0137,0.87614,0.50908,0.00404,0.81582,0.69679,0.87013,0.52615,1.34551,0.9378,0.00709,9.46048e-05,9.46048e-05,9.46048e-05
5,42.3678,0.85914,0.49011,0.00402,0.80652,0.68209,0.8524,0.49745,1.39524,0.98334,0.00736,9.05463e-05,9.05463e-05,9.05463e-05
6,50.6022,0.84754,0.47223,0.00384,0.80134,0.71102,0.85591,0.51384,1.35683,0.95957,0.00711,8.55018e-05,8.55018e-05,8.55018e-05
7,58.9599,0.82171,0.45369,0.00377,0.80329,0.72835,0.87018,0.52746,1.3424,0.90085,0.00702,7.95954e-05,7.95954e-05,7.95954e-05
8,67.3192,0.80693,0.45488,0.00371,0.82813,0.74815,0.8797,0.52973,1.35987,0.86389,0.00715,7.29725e-05,7.29725e-05,7.29725e-05
9,75.6364,0.79107,0.43314,0.00355,0.8178,0.74245,0.87879,0.53582,1.35652,0.86762,0.00714,6.57963e-05,6.57963e-05,6.57963e-05
10,83.9919,0.78195,0.43034,0.00357,0.80449,0.75048,0.88313,0.53411,1.36081,0.85438,0.00715,5.82435e-05,5.82435e-05,5.82435e-05
11,93.4836,0.73379,0.37354,0.00379,0.81456,0.74991,0.88206,0.53157,1.3859,0.84348,0.0073,5.05e-05,5.05e-05,5.05e-05
12,101.728,0.70572,0.34498,0.00353,0.82266,0.77959,0.87954,0.5267,1.3909,0.79912,0.00732,4.27565e-05,4.27565e-05,4.27565e-05
13,109.758,0.71388,0.34872,0.00358,0.81361,0.7731,0.88497,0.5265,1.40055,0.81475,0.00736,3.52037e-05,3.52037e-05,3.52037e-05
14,117.821,0.70301,0.34594,0.00341,0.81134,0.77876,0.8865,0.53393,1.38319,0.81657,0.00729,2.80275e-05,2.80275e-05,2.80275e-05
15,125.865,0.68299,0.334,0.00335,0.83378,0.77254,0.89173,0.53887,1.37399,0.80465,0.00721,2.14046e-05,2.14046e-05,2.14046e-05
16,134.045,0.69621,0.34007,0.00345,0.83864,0.7558,0.88768,0.54005,1.36943,0.81438,0.00719,1.54982e-05,1.54982e-05,1.54982e-05
17,142.379,0.68284,0.33856,0.00331,0.83016,0.76214,0.887,0.54101,1.36808,0.81213,0.00717,1.04537e-05,1.04537e-05,1.04537e-05
18,150.514,0.67612,0.33632,0.00338,0.83489,0.75082,0.88802,0.5415,1.36515,0.82319,0.00716,6.39518e-06,6.39518e-06,6.39518e-06
19,158.676,0.66633,0.328,0.00327,0.82995,0.76608,0.88873,0.54278,1.36818,0.80869,0.00718,3.4227e-06,3.4227e-06,3.4227e-06
20,166.834,0.65886,0.32685,0.00329,0.83711,0.76259,0.8898,0.54302,1.36903,0.80237,0.00718,1.60943e-06,1.60943e-06,1.60943e-06
