epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,10.755,1.45911,2.81423,0.00852,0.15852,0.21768,0.16184,0.0935,1.49948,3.901,0.00667,0.000195918,0.000195918,0.0806041,1,TL
2,13.7631,1.42091,1.95922,0.0084,0.05432,0.65968,0.21062,0.12703,1.39675,2.96016,0.00605,0.000356722,0.000356722,0.0607649,2,TL
3,17.0456,1.37209,1.67755,0.00816,0.41673,0.23852,0.31636,0.18462,1.45111,2.27612,0.00629,0.000477927,0.000477927,0.0408861,3,TL
4,20.1455,1.36435,1.51703,0.00795,0.49085,0.34966,0.35646,0.19769,1.44276,2.16153,0.0062,0.000559531,0.000559531,0.0209677,4,TL
5,23.1414,1.33089,1.42577,0.00771,0.4879,0.36796,0.37929,0.20751,1.44022,2.09302,0.00617,0.000601535,0.000601535,0.0010097,5,TL
6,26.1151,1.32499,1.37812,0.00781,0.5416,0.41807,0.42677,0.24361,1.42443,1.93246,0.00609,0.000505,0.000505,0.000505,6,TL
7,28.941,1.31302,1.33924,0.00778,0.49646,0.40792,0.40382,0.23087,1.41087,1.93065,0.00606,0.000406,0.000406,0.000406,7,TL
8,31.8704,1.30285,1.29169,0.00757,0.53169,0.42072,0.42269,0.24267,1.41479,1.84028,0.00609,0.000307,0.000307,0.000307,8,TL
9,34.8984,1.28427,1.28248,0.00746,0.5318,0.42207,0.41748,0.2387,1.42208,1.8454,0.00611,0.000208,0.000208,0.000208,9,TL
10,37.9251,1.27704,1.27756,0.00767,0.50831,0.42425,0.41598,0.24022,1.40595,1.81813,0.00605,0.000109,0.000109,0.000109,10,TL
1,6.33115,1.49971,2.0432,0.00813,0.47801,0.41744,0.425,0.25131,1.39622,1.77274,0.00607,0.0001,0.0001,0.0001,11,FT
2,10.5598,1.37653,1.45084,0.00704,0.48032,0.44153,0.4276,0.24461,1.45141,1.77767,0.00639,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,15.2616,1.31337,1.3363,0.0066,0.46344,0.42933,0.42063,0.24414,1.41025,1.66418,0.00614,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,19.4025,1.26824,1.28956,0.00645,0.4564,0.4658,0.4338,0.25224,1.39037,1.62783,0.00604,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,23.5412,1.24135,1.25112,0.00633,0.45485,0.46393,0.43158,0.24903,1.41469,1.6349,0.00618,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,27.7414,1.22809,1.23252,0.00609,0.47193,0.45928,0.42313,0.24877,1.40121,1.63509,0.0061,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,32.0247,1.19513,1.20523,0.0061,0.45293,0.45592,0.41777,0.24473,1.40932,1.62504,0.00614,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,36.2208,1.18775,1.17447,0.00595,0.47915,0.47413,0.43473,0.25373,1.41449,1.59314,0.00617,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,40.5873,1.17698,1.15347,0.00586,0.47447,0.48823,0.44028,0.25589,1.41645,1.55495,0.00621,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,44.7803,1.16193,1.14389,0.00582,0.47409,0.4889,0.44623,0.26244,1.39475,1.54688,0.00606,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,49.9684,1.16695,1.18691,0.00671,0.49839,0.53062,0.47526,0.27321,1.41897,1.43623,0.00617,5.05e-05,5.05e-05,5.05e-05,21,FT
12,54.081,1.1465,1.10473,0.00629,0.5191,0.51848,0.4775,0.27108,1.43686,1.47739,0.00625,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
13,58.1135,1.10912,1.06772,0.00642,0.51721,0.51201,0.45647,0.26604,1.40975,1.51661,0.00609,3.52037e-05,3.52037e-05,3.52037e-05,23,FT
14,62.3819,1.10103,1.03794,0.00618,0.51337,0.51442,0.45777,0.26794,1.4078,1.51259,0.00608,2.80275e-05,2.80275e-05,2.80275e-05,24,FT
15,66.4301,1.10211,1.03212,0.00607,0.51007,0.50949,0.46066,0.27012,1.40874,1.49932,0.00608,2.14046e-05,2.14046e-05,2.14046e-05,25,FT
16,70.4592,1.10831,1.04285,0.00617,0.5041,0.50409,0.46041,0.26885,1.41761,1.49961,0.00614,1.54982e-05,1.54982e-05,1.54982e-05,26,FT
